2025-12-20 00:17:53 | IP: 192.168.1.40 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-20 00:18:10 | IP: 192.168.1.20 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-20 00:19:20 | IP: 192.168.1.10 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-20 00:19:41 | IP: 192.168.1.30 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-20 00:27:07 | IP: 192.168.1.40 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-20 00:27:09 | IP: 192.168.1.30 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-20 00:27:17 | IP: 192.168.1.10 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-20 00:27:32 | IP: 192.168.1.20 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-22 21:51:04 | IP: 192.168.1.10 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-22 21:51:06 | IP: 192.168.1.20 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-22 21:51:12 | IP: 192.168.1.30 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-22 21:51:29 | IP: 192.168.1.40 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-22 22:02:42 | IP: 192.168.1.20 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-22 22:02:44 | IP: 192.168.1.40 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-22 22:02:53 | IP: 192.168.1.30 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-22 22:03:07 | IP: 192.168.1.10 | Attack: BLOCKED | Msg: IP blocked by IDS engine
2025-12-22 22:18:31 | IP: 192.168.43.236 | Attack: BLOCKED | Msg: IP blocked by IDS engine
